stem,vor_f1,vor_iou,vor_precision,vor_recall,vor_tp,vor_fp,vor_fn,vor_tn,raw_f1,raw_iou,raw_precision,raw_recall,raw_tp,raw_fp,raw_fn,raw_tn,part_f1,part_iou,part_precision,part_recall,part_tp,part_fp,part_fn,part_tn,delta_iou_part_vs_vor,delta_iou_part_vs_raw,partition_coverage,overlap_before,overlap_after,num_masks,avg_mask_area
04543,0.11611662158100389,0.061636841702192836,0.06724783801473352,0.4248636283653,4829.0,66980.0,6537.0,183798.0,0.05348972631228683,0.02747980682935168,0.050725781003471124,0.056572232975541085,643.0,12033.0,10723.0,238745.0,0.1864978173488352,0.10283848518792155,0.12361063366563538,0.3796410346647897,4315.0,30593.0,7051.0,220185.0,0.04120164348572871,0.07535867835856987,1.0,0.235443115234375,0.0,111.0,2286.6486486486488
03447,0.07457528111765566,0.0387318602416949,0.057916225616210494,0.1046877135438021,766.0,12460.0,6551.0,242367.0,0.0,0.0,0.0,0.0,0.0,980.0,7317.0,253847.0,0.018119614799797262,0.00914263793875072,0.01688909885437581,0.01954352876862102,143.0,8324.0,7174.0,246503.0,-0.029589222302944182,0.00914263793875072,1.0,0.030673980712890625,0.0,112.0,1258.0625
04523,0.06671139138601906,0.03450669035589362,0.03985123913949537,0.20464273954560422,1243.0,29948.0,4831.0,226122.0,0.051335704819697285,0.026344047533824896,0.044535882851264676,0.060586104708594005,368.0,7895.0,5706.0,248175.0,0.0460913421126366,0.023589302358930236,0.029273066998843314,0.10833058939743168,658.0,21820.0,5416.0,234250.0,-0.010917387996963384,-0.0027547451748946607,1.0,0.11656570434570312,0.0,159.0,1220.132075471698
02684,0.12563966825480855,0.06703069101864055,0.0748773077821921,0.39011323511506146,3204.0,39586.0,5009.0,214345.0,0.08646407442989332,0.04518549836169538,0.07393635420269803,0.10410325094362596,855.0,10709.0,7358.0,243222.0,0.19594884034024845,0.10861601085481683,0.13085945482038497,0.38986971873858517,3202.0,21267.0,5011.0,232664.0,0.04158531983617628,0.06343051249312145,1.0,0.18817520141601562,0.0,122.0,1909.5
06588,0.0910123272319761,0.04767570190749771,0.056544745636836244,0.23310371220818982,6091.0,101629.0,20039.0,134385.0,0.06971549686149833,0.03611669510279237,0.060730009941769636,0.08182166092613853,2138.0,33067.0,23992.0,202947.0,0.06390557901597194,0.033007470257308866,0.04167491470557412,0.13696900114810562,3579.0,82300.0,22551.0,153714.0,-0.014668231650188844,-0.0031092248454835034,1.0,0.09727859497070312,0.0,117.0,1748.7094017094016
02280,0.532619286042924,0.36297279974916197,0.5126303245006805,0.5542303549175192,78719.0,74840.0,63314.0,45271.0,0.04157572767012709,0.021229172992563976,0.20486284289276807,0.023135468517879648,3286.0,12754.0,138747.0,107357.0,0.0632819822483346,0.03267485595130602,0.29696540323532883,0.03541430512627347,5030.0,11908.0,137003.0,108203.0,-0.33029794379785593,0.011445682958742046,1.0,0.36206817626953125,0.0,30.0,11737.266666666666
07223,0.09108247765629505,0.04771420273017717,0.07493568339810608,0.11609893992932863,4107.0,50700.0,31268.0,176069.0,0.003607138336919377,0.001806827907566488,0.0040958574354183885,0.003222614840989399,114.0,27719.0,35261.0,199050.0,0.0006301123700393237,0.0003151554767018396,0.0005365233288291869,0.0007632508833922262,27.0,50297.0,35348.0,176472.0,-0.04739904725347533,-0.0014916724308646485,1.0,0.09159088134765625,0.0,118.0,1650.4661016949153
02905,0.0481831492080394,0.02468630660120022,0.03770721109490789,0.06671932596103212,1267.0,32334.0,17723.0,210820.0,0.03073229291716686,0.015605949768349184,0.064,0.02022116903633491,384.0,5616.0,18606.0,237538.0,0.03055971673702846,0.01551695524699895,0.03165021156558533,0.029541864139020536,561.0,17164.0,18429.0,225990.0,-0.00916935135420127,-8.899452135023404e-05,1.0,0.14427566528320312,0.0,120.0,1801.2
00505,0.15450367742403967,0.08371930929040382,0.10875184368474086,0.26670725592722583,7447.0,61030.0,20475.0,173192.0,0.12066813861956416,0.06420799918271441,0.1828895678742907,0.09003653033450326,2514.0,11232.0,25408.0,222990.0,0.060507918954145104,0.031197816967376696,0.04784011658165921,0.08230069479263663,2298.0,45737.0,25624.0,188485.0,-0.05252149232302712,-0.03301018221533772,1.0,0.11438369750976562,0.0,114.0,1501.9122807017543
06753,0.12954561565180406,0.06925890133212059,0.07592754165108646,0.4408926417370326,3655.0,44483.0,4635.0,209371.0,0.4630366876952288,0.3012672351956643,0.47032474804031354,0.4559710494571773,3780.0,4257.0,4510.0,249597.0,0.21377017273538235,0.11967674566421502,0.13775563529944604,0.4769601930036188,3954.0,24749.0,4336.0,229105.0,0.050417844332094425,-0.18159048953144927,1.0,0.2431488037109375,0.0,140.0,1808.442857142857
