stem,voronoi_f1,voronoi_iou,voronoi_precision,voronoi_recall,voronoi_tp,voronoi_fp,voronoi_fn,voronoi_tn,sam_f1,sam_iou,sam_precision,sam_recall,sam_tp,sam_fp,sam_fn,sam_tn,delta_iou,n_tokens,n_regen_masks,align_mean_centroid_error,align_mean_area_error,align_count_gap
02623,0.739718941288042,0.586947598850732,0.6224535989135356,0.9114240310011642,107250.0,65052.0,10423.0,79419.0,0.3217993300366884,0.1917525929981446,0.6457287718938851,0.21429724745693574,25217.0,13835.0,92456.0,130636.0,-0.3951950058525874,77,77,0.0,0.0,0.0
02376,0.4738484748479562,0.3104858639778569,0.3697730032007652,0.6594580408109704,50254.0,85651.0,25951.0,100288.0,0.19269386563241714,0.10661938338401372,0.22436098615615302,0.16886031100321502,12868.0,44486.0,63337.0,141453.0,-0.20386648059384316,46,46,0.0,0.0,0.0
06694,0.0,0.0,0.0,0.0,0.0,10325.0,17734.0,234085.0,0.0,0.0,0.0,0.0,0.0,1342.0,17734.0,243068.0,0.0,96,96,0.0,0.0,0.0
02106,0.36949267789012435,0.22661209359796122,0.2287727942494952,0.9599895311937711,29344.0,98923.0,1223.0,132654.0,0.04042093525681232,0.020627356141973113,0.04323679600432368,0.03794942257990643,1160.0,25669.0,29407.0,205908.0,-0.2059847374559881,61,61,0.0,0.0,0.0
06686,0.4291954590325765,0.2732328866125155,0.30427784095879623,0.7281138790035587,17391.0,39764.0,6494.0,198495.0,0.6426661914097309,0.4734768907563025,0.6867590344236537,0.6038936571069708,14424.0,6579.0,9461.0,231680.0,0.200244004143787,118,118,0.0,0.0,0.0
01446,0.09378749364514488,0.0492009643901086,0.07138213898777279,0.13669235328986365,2306.0,29999.0,14564.0,215275.0,0.03659882295242767,0.018640522059512287,0.03789513774279548,0.035388263189093064,597.0,15157.0,16273.0,230117.0,-0.03056044233059631,145,145,0.0,0.0,0.0
01011,0.19906613650457813,0.11053495108266322,0.12602771362586604,0.47345132743362833,5457.0,37843.0,6069.0,212775.0,0.4047993143836595,0.25376074498567336,0.34397378322611966,0.49175776505292385,5668.0,10810.0,5858.0,239808.0,0.14322579390301016,159,159,0.0,0.0,0.0
08710,0.11489952854439449,0.06095140831176669,0.06334044888261756,0.617737003058104,5252.0,77665.0,3250.0,175977.0,0.05968730909337737,0.03076169597462568,0.0369519540551898,0.15513996706657257,1319.0,34376.0,7183.0,219266.0,-0.030189712337141007,109,109,0.0,0.0,0.0
03335,0.4593607907742998,0.29816246920339445,0.36886182762318676,0.6087042578211412,52281.0,89455.0,33608.0,86800.0,0.15821806734713348,0.08590488620943265,0.4378332717385566,0.09655485568582706,8293.0,10648.0,77596.0,165607.0,-0.2122575829939618,90,90,0.0,0.0,0.0
05285,0.08044908466819223,0.0419103676936259,0.12042389210019268,0.060399441640717276,2250.0,16434.0,35002.0,208458.0,0.03439484077388392,0.017498346813164454,0.24981844589687727,0.018468807043917106,688.0,2066.0,36564.0,222826.0,-0.024412020880461443,117,117,0.0,0.0,0.0
07931,0.3520851944144059,0.21365497368008102,0.27768352940085844,0.4809492461585395,29954.0,77917.0,32327.0,121946.0,0.08305392746538354,0.04332616793730056,0.204589874535023,0.05210256739615613,3245.0,12616.0,59036.0,187247.0,-0.17032880574278045,100,100,0.0,0.0,0.0
04950,0.24422465361931042,0.1390978943420916,0.1468091556768228,0.7258910726182545,17433.0,101313.0,6583.0,136815.0,0.3646745714909929,0.22299816607357567,0.23944341566469315,0.7645319786808794,18361.0,58321.0,5655.0,179807.0,0.08390027173148407,80,80,0.0,0.0,0.0
00536,0.28329282506753883,0.16502105263157896,0.2096892848066557,0.43651500807484545,15677.0,59086.0,20237.0,167144.0,0.13581515156161358,0.07285498091854191,0.15112430477360358,0.12332238124408308,4429.0,24878.0,31485.0,201352.0,-0.09216607171303705,96,96,0.0,0.0,0.0
04603,0.4254559459524517,0.27020898199625965,0.32454416922201207,0.6174384890369008,53025.0,110358.0,32854.0,65907.0,0.21097986776613922,0.11793040445145753,0.5208858728048054,0.13227913692520873,11360.0,10449.0,74519.0,165816.0,-0.15227857754480212,35,35,0.0,0.0,0.0
